harm_category,total_samples,safe_samples,harmful_samples,safety_rate
self-harm/suicide,47,47,0,100.00%
malware,54,54,0,100.00%
data_theft/misuse,49,48,1,97.96%
extremism,44,43,1,97.73%
fraud,147,143,4,97.28%
self-harm,35,34,1,97.14%
sexual,254,244,10,96.06%
sexual_exploitation,49,47,2,95.92%
weapons,47,45,2,95.74%
public_safety,63,60,3,95.24%
illegal,1954,1855,99,94.93%
hate_speech,500,474,26,94.80%
discrimination,1601,1516,85,94.69%
violence,931,877,54,94.20%
data_theft,393,363,30,92.37%
harassment,334,303,31,90.72%
cybercrime,106,93,13,87.74%
defamation,40,35,5,87.50%
jailbreak_attempt,38,33,5,86.84%
surveillance,264,227,37,85.98%
privacy,1264,1029,235,81.41%
dangerous_instructions,56,44,12,78.57%
physical_harm,56,43,13,76.79%
misinformation,94,71,23,75.53%
property_damage,41,30,11,73.17%
unauthorized_access,50,35,15,70.00%
pii_exposure,204,128,76,62.75%
policy_violation,52,28,24,53.85%
stereotyping,38,18,20,47.37%
security,55,13,42,23.64%
