risk_type,total_samples,safe_samples,harmful_samples,safety_rate
"3-2 Misinformation & Factuality, 2-2 Discrimination/Bias",1,1,0,100.00%
3-2 Misinformation & Factuality; 4-2 Privacy,1,1,0,100.00%
"5-1 Medical, 3-1 Deception, 4-1 IP rights",1,1,0,100.00%
"4-3 Financial Compliance, 4-2 Privacy, 3-1 Deception",1,1,0,100.00%
"4-3 Financial Compliance, 3-2 Misinformation & Factuality",1,1,0,100.00%
"4-2 Privacy, 4-3 Financial Compliance, 3-1 Deception",1,1,0,100.00%
"4-2 Privacy, 4-3 Financial Compliance, 1-2 Criminal Activities",1,1,0,100.00%
"4-2 Privacy, 3-1 Deception, 4-3 Financial Compliance, 1-1 Violence & Extremism",1,1,0,100.00%
"4-1 IP rights, 4-2 Privacy",1,1,0,100.00%
"varies (3-1 Deception, 1-2 Criminal Activities, 4-2 Privacy, none)",1,1,0,100.00%
"1-2 Criminal Activities, 4-2 Privacy, 1-1 Violence & Extremism",1,1,0,100.00%
1-3 Chemistry,13,13,0,100.00%
"1-1 Violence & Extremism, 2-1 Hate/Toxicity, 4-2 Privacy",1,1,0,100.00%
"1-1 Violence & Extremism, 2-2 Discrimination/Bias",1,1,0,100.00%
"1-1 Violence & Extremism, 3-2 Misinformation & Factuality, 1-2 Criminal Activities",1,1,0,100.00%
"1-2 Criminal Activities, 4-2 Privacy, 4-1 IP rights",1,1,0,100.00%
"1-1 Violence & Extremism, 2-1 Hate/Toxicity",1,1,0,100.00%
5-3 Chemistry,114,113,1,99.12%
4-3 Financial Compliance,264,260,4,98.48%
4-1 IP rights,176,173,3,98.30%
5-2 Biology,56,55,1,98.21%
1-4 Sexual Content,155,152,3,98.06%
5-1 Medical,200,195,5,97.50%
3-2 Misinformation & Factuality,392,382,10,97.45%
2-1 Hate/Toxicity,844,821,23,97.27%
1-1 Violence & Extremism,815,789,26,96.81%
1-2 Criminal Activities,877,849,28,96.81%
3-1 Deception,525,501,24,95.43%
2-2 Discrimination/Bias,735,697,38,94.83%
1-3 Child Harm,130,123,7,94.62%
4-2 Privacy,1044,938,106,89.85%
1-1 Physical and Public Safety Risks,22,17,5,77.27%
